model_name,win,time,final_robot_position,goal_position
PPO,0,0.0005,"(0.061, 1.8865)","(1.53, 1.3314)"
PPO,0,0.4714,"(1.1969, 0.0728)","(1.8468, 0.1908)"
PPO,0,0.3123,"(1.3486, 0.0733)","(1.8287, 0.7398)"
PPO,0,0.0808,"(0.0937, 1.0401)","(0.7991, 0.2663)"
PPO,0,0.0006,"(0.5565, 0.5977)","(0.725, 1.7884)"
PPO,0,0.6847,"(0.0732, 0.4921)","(1.8305, 1.3753)"
PPO,0,0.4091,"(0.1123, 1.9094)","(0.1941, 1.3672)"
PPO,0,0.6362,"(0.4042, 1.9276)","(1.0764, 1.5233)"
PPO,0,0.2274,"(1.9007, 1.8585)","(0.2012, 0.4946)"
PPO,0,0.6002,"(1.8839, 0.0855)","(0.2972, 1.0502)"
PPO,0,0.2803,"(1.9282, 0.9068)","(0.9427, 1.6452)"
PPO,0,3.8135,"(0.2403, 1.4485)","(1.4561, 0.3595)"
PPO,0,3.7073,"(0.3106, 1.6432)","(0.3493, 0.0773)"
PPO,0,0.197,"(0.5909, 1.5625)","(1.4926, 0.2977)"
PPO,0,1.3156,"(1.1944, 0.0744)","(0.0682, 0.6267)"
PPO,0,0.4322,"(0.7329, 0.0713)","(1.6344, 1.4084)"
PPO,0,0.0538,"(0.0961, 1.8778)","(0.6654, 1.3417)"
PPO,0,0.0551,"(0.0951, 0.3142)","(1.0654, 1.2594)"
PPO,0,0.126,"(1.4976, 0.0722)","(1.2618, 0.4954)"
PPO,1,0.742,"(0.344, 0.8492)","(0.2791, 0.7499)"
PPO,0,0.0601,"(0.5102, 0.0863)","(1.4947, 0.5237)"
PPO,0,0.3042,"(0.6176, 0.8236)","(1.885, 1.8135)"
PPO,0,0.0006,"(1.1324, 0.071)","(1.8688, 0.1162)"
PPO,0,0.4642,"(0.6608, 0.7788)","(1.3646, 0.9527)"
PPO,0,0.2443,"(0.8504, 0.0721)","(0.4282, 0.6212)"
PPO,1,2.4218,"(1.7843, 1.4062)","(1.8591, 1.5054)"
PPO,0,3.7558,"(1.6572, 1.6747)","(0.7607, 1.2891)"
PPO,1,3.0167,"(1.7161, 1.6529)","(1.7141, 1.7522)"
PPO,0,0.2899,"(0.6638, 1.2748)","(1.7196, 0.1562)"
PPO,0,0.19,"(0.0738, 0.4378)","(1.0873, 0.314)"
PPO,0,0.7499,"(0.8249, 1.2704)","(0.9427, 1.2438)"
PPO,1,0.028,"(0.614, 1.7837)","(0.6218, 1.8835)"
PPO,0,0.2662,"(1.9211, 1.9037)","(0.1839, 0.3667)"
PPO,0,0.2022,"(0.8651, 1.9256)","(1.6334, 0.8977)"
PPO,1,0.1244,"(1.2715, 1.1476)","(1.371, 1.122)"
PPO,0,0.0856,"(1.371, 0.3362)","(1.219, 0.8247)"
PPO,0,4.3356,"(0.4618, 0.2728)","(0.5898, 1.4014)"
PPO,0,0.3908,"(1.9267, 1.5225)","(0.9085, 1.3784)"
PPO,0,0.1539,"(1.0588, 0.4403)","(0.52, 0.2324)"
PPO,0,0.9439,"(1.9063, 0.0853)","(0.8244, 1.7621)"
PPO,0,0.0006,"(1.2049, 0.4537)","(1.058, 0.2945)"
PPO,0,0.7249,"(1.9269, 1.1247)","(0.1616, 0.95)"
PPO,0,0.2994,"(1.1685, 0.6197)","(0.8396, 1.5015)"
PPO,0,0.2013,"(0.5395, 1.5679)","(0.1898, 0.4201)"
PPO,0,1.8346,"(0.0739, 0.4245)","(0.7133, 1.3671)"
PPO,0,0.0732,"(0.75, 1.2744)","(1.1659, 1.0267)"
PPO,0,0.2132,"(0.6821, 1.2758)","(1.3883, 1.917)"
PPO,0,0.2215,"(1.5994, 0.3352)","(1.6816, 1.7472)"
PPO,0,0.3109,"(0.7381, 1.2713)","(0.2643, 0.4563)"
PPO,0,0.1573,"(1.3725, 1.2741)","(1.4541, 0.8568)"
PPO,0,0.1485,"(0.7408, 0.3245)","(0.7241, 1.7515)"
PPO,0,1.7166,"(1.9274, 1.5607)","(0.4008, 0.1487)"
PPO,0,0.0006,"(1.7913, 0.0613)","(1.8875, 1.7253)"
PPO,0,0.0006,"(1.9488, 1.9069)","(1.1984, 1.3205)"
PPO,0,0.379,"(1.8646, 0.0967)","(0.9445, 1.5529)"
PPO,0,3.7949,"(0.199, 0.6287)","(0.5004, 0.7874)"
PPO,0,0.0802,"(1.6633, 0.0998)","(1.3344, 0.1994)"
PPO,0,0.0866,"(1.0358, 0.0999)","(0.4885, 1.8789)"
PPO,0,0.3602,"(1.0458, 0.0738)","(1.8435, 0.8229)"
PPO,0,0.2113,"(0.656, 1.152)","(0.4624, 0.4329)"
PPO,0,0.1577,"(0.0998, 0.0765)","(1.8851, 0.7966)"
PPO,0,0.0484,"(1.2196, 0.0732)","(1.5408, 1.5572)"
PPO,0,0.4346,"(0.094, 0.0972)","(1.9305, 1.9156)"
PPO,0,3.9666,"(0.308, 1.5705)","(0.4124, 0.6607)"
PPO,0,0.0548,"(1.281, 1.5661)","(0.844, 0.8968)"
PPO,0,0.0005,"(0.612, 0.5649)","(1.6981, 1.0635)"
PPO,0,0.0006,"(0.5843, 0.7113)","(0.4967, 0.1634)"
PPO,0,0.0006,"(1.4884, 0.5494)","(1.8026, 1.573)"
PPO,0,0.5919,"(0.0739, 0.4241)","(1.5025, 1.7184)"
PPO,0,3.7923,"(1.042, 1.7498)","(1.0378, 0.6951)"
PPO,0,3.8717,"(0.8462, 1.7557)","(0.3612, 1.4002)"
PPO,0,0.6052,"(0.0734, 0.6552)","(1.4739, 0.6522)"
PPO,1,0.0006,"(1.0693, 1.8852)","(1.1426, 1.9144)"
PPO,0,0.5036,"(0.1308, 1.9023)","(0.9888, 0.1527)"
PPO,0,0.0006,"(1.5794, 1.2548)","(1.5262, 1.8165)"
PPO,0,0.3126,"(0.0722, 0.7625)","(0.2628, 1.5821)"
PPO,0,0.5714,"(0.3958, 1.9269)","(1.809, 1.6306)"
PPO,0,0.0006,"(0.4595, 1.2112)","(0.2595, 1.0265)"
PPO,1,0.2123,"(0.8745, 1.2622)","(0.9742, 1.3425)"
PPO,0,0.3492,"(1.3502, 1.0852)","(1.7186, 0.6502)"
PPO,0,0.2363,"(1.8955, 0.0847)","(1.1923, 1.6553)"
PPO,0,0.0466,"(0.8307, 1.5587)","(0.6509, 0.3686)"
PPO,0,0.0005,"(0.7015, 0.4684)","(1.2039, 1.5629)"
PPO,0,3.7261,"(0.2196, 0.3957)","(0.6114, 1.5827)"
PPO,0,0.4678,"(1.119, 0.614)","(0.6626, 0.0966)"
PPO,0,0.2546,"(0.7959, 1.5607)","(0.913, 0.626)"
PPO,0,1.3288,"(1.5575, 0.0729)","(1.3016, 1.0147)"
PPO,0,0.0741,"(0.0976, 0.3566)","(1.8055, 0.308)"
PPO,0,0.1369,"(1.4634, 0.0742)","(1.2377, 1.305)"
PPO,0,0.2873,"(1.3951, 0.0733)","(1.7579, 1.2045)"
